OBJECTID,Geo_ID,Geo_Type,Geo_Name,Geo_Short_Name,Suppressed,Shape__Area,Shape__Length,Label
172,csa_la_tarzana,Los Angeles City Neighborhood,Los Angeles - Tarzana,Tarzana,0,179079757.203125,74083.3586692958,Tarzana
173,csa_la_temple_beaudry,Los Angeles City Neighborhood,Los Angeles - Temple-Beaudry,Temple-Beaudry,0,38649818.5136719,54358.3911275012,Temple-Beaudry
174,csa_la_tujunga,Los Angeles City Neighborhood,Los Angeles - Tujunga,Tujunga,0,153839505.100586,71574.3275865367,Tujunga
175,csa_la_university_park,Los Angeles City Neighborhood,Los Angeles - University Park,University Park,0,38031882.7568359,34766.2998264236,University Park
176,csa_la_valley_glen,Los Angeles City Neighborhood,Los Angeles - Valley Glen,Valley Glen,0,65393448.296875,34152.210173846,Valley Glen
177,csa_la_valley_village,Los Angeles City Neighborhood,Los Angeles - Valley Village,Valley Village,0,57016389.0117188,35747.4999125256,Valley Village
178,csa_la_van_nuys,Los Angeles City Neighborhood,Los Angeles - Van Nuys,Van Nuys,0,205583079.799805,92099.6302146575,Van Nuys
179,csa_la_vermont_vista,Los Angeles City Neighborhood,Los Angeles - Vermont Vista,Vermont Vista,0,52869829.0771484,36319.6993540215,Vermont Vista
180,csa_la_vernon_central,Los Angeles City Neighborhood,Los Angeles - Vernon Central,Vernon Central,0,63653034.0039063,40198.0499461658,Vernon Central
181,csa_la_watts,Los Angeles City Neighborhood,Los Angeles - Watts,Watts,0,58204963.2910156,34132.3112060443,Watts
182,csa_la_west_adams,Los Angeles City Neighborhood,Los Angeles - West Adams,West Adams,0,40806406.3515625,34783.7179139801,West Adams
183,csa_la_west_hills,Los Angeles City Neighborhood,Los Angeles - West Hills,West Hills,0,278622770.024414,106010.974557072,West Hills
184,csa_la_west_los_angeles,Los Angeles City Neighborhood,Los Angeles - West Los Angeles,West Los Angeles,0,59720615.9101563,36418.6477065217,West Los Angeles
185,csa_la_west_vernon,Los Angeles City Neighborhood,Los Angeles - West Vernon,West Vernon,0,70320110.6337891,50950.2227933239,West Vernon
186,csa_la_westchester,Los Angeles City Neighborhood,Los Angeles - Westchester,Westchester,0,360351243.841797,115941.492628118,Westchester
187,csa_la_westlake,Los Angeles City Neighborhood,Los Angeles - Westlake,Westlake,0,32043122.8505859,25486.3434740704,Westlake
188,csa_la_westwood,Los Angeles City Neighborhood,Los Angeles - Westwood,Westwood,0,105853582.149414,61354.7305222588,Westwood
189,csa_la_wholesale_district,Los Angeles City Neighborhood,Los Angeles - Wholesale District,Wholesale District,0,174999904.899414,80438.2553731196,Wholesale District
190,csa_la_wilmington,Los Angeles City Neighborhood,Los Angeles - Wilmington,Wilmington,0,196789572.776367,111182.800431405,Wilmington
191,csa_la_wilshire_center,Los Angeles City Neighborhood,Los Angeles - Wilshire Center,Wilshire Center,0,35975449.8251953,39976.880070708,Wilshire Center
192,csa_la_winnetka,Los Angeles City Neighborhood,Los Angeles - Winnetka,Winnetka,0,139717944.177734,57437.6349062265,Winnetka
193,csa_la_woodland_hills,Los Angeles City Neighborhood,Los Angeles - Woodland Hills,Woodland Hills,0,411329472.003906,122460.270656521,Woodland Hills
194,csa_la_san_pedro,Los Angeles City Neighborhood,Los Angeles - San Pedro,San Pedro,0,330651644.302734,270708.131628813,San Pedro
195,csa_la_venice,Los Angeles City Neighborhood,Los Angeles - Venice,Venice,0,78323669.4257813,43089.6378757759,Venice
196,csa_unincorp_altadena,Unincorporated Los Angeles County,Unincorporated - Altadena,Altadena (Unincorporated),0,244123866.765625,97879.6252956226,Altadena (Unincorporated)
197,csa_unincorp_athens_westmont,Unincorporated Los Angeles County,Unincorporated - Athens-Westmont,Athens-Westmont (Unincorporated),0,88748915.7353516,55016.8206733927,Athens-Westmont (Unincorporated)
198,csa_unincorp_castaic,Unincorporated Los Angeles County,Unincorporated - Castaic,Castaic (Unincorporated),0,8423094459.53711,578909.092770396,Castaic (Unincorporated)
199,csa_unincorp_east_los_angeles,Unincorporated Los Angeles County,Unincorporated - East Los Angeles,East Los Angeles (Unincorporated),0,207445964.912109,87336.8687075602,East Los Angeles (Unincorporated)
200,csa_unincorp_florence_firestone,Unincorporated Los Angeles County,Unincorporated - Florence-Firestone,Florence-Firestone (Unincorporated),0,97260637.3994141,54670.8460835291,Florence-Firestone (Unincorporated)
201,csa_unincorp_hacienda_heights,Unincorporated Los Angeles County,Unincorporated - Hacienda Heights,Hacienda Heights (Unincorporated),0,338789855.452148,101920.804118834,Hacienda Heights (Unincorporated)
202,csa_unincorp_northeast_san_gabriel,Unincorporated Los Angeles County,Unincorporated - Northeast San Gabriel,Northeast San Gabriel (Unincorporated),0,61103908.2792969,87875.4593397755,Northeast San Gabriel (Unincorporated)
203,csa_la_longwood,Los Angeles City Neighborhood,Los Angeles - Longwood,Longwood,1,6570202.85351563,13147.195584778,Longwood
204,csa_la_manchester_square,Los Angeles City Neighborhood,Los Angeles - Manchester Square,Manchester Square,1,21121948.3173828,18577.936379346,Manchester Square
205,csa_la_mandeville_canyon,Los Angeles City Neighborhood,Los Angeles - Mandeville Canyon,Mandeville Canyon,1,121291810.230469,75092.6588085185,Mandeville Canyon
206,csa_la_mid_city,Los Angeles City Neighborhood,Los Angeles - Mid-city,Mid-city,1,31337935.8847656,29831.3323446954,Mid-city
207,csa_la_miracle_mile,Los Angeles City Neighborhood,Los Angeles - Miracle Mile,Miracle Mile,1,33258285.1035156,40344.7523818978,Miracle Mile
208,csa_la_pacific_palisades,Los Angeles City Neighborhood,Los Angeles - Pacific Palisades,Pacific Palisades,1,160829202.537109,88064.8941906848,Pacific Palisades
209,csa_la_palisades_highlands,Los Angeles City Neighborhood,Los Angeles - Palisades Highlands,Palisades Highlands,1,515226622.529297,131324.573344894,Palisades Highlands
210,csa_la_park_la_brea,Los Angeles City Neighborhood,Los Angeles - Park La Brea,Park La Brea,1,13349688.0976563,17145.0191828409,Park La Brea
211,csa_la_playa_vista,Los Angeles City Neighborhood,Los Angeles - Playa Vista,Playa Vista,1,37666749.0908203,39005.932600826,Playa Vista
212,csa_la_rancho_park,Los Angeles City Neighborhood,Los Angeles - Rancho Park,Rancho Park,1,23474757.34375,22114.7021176798,Rancho Park
213,csa_la_regent_square,Los Angeles City Neighborhood,Los Angeles - Regent Square,Regent Square,1,5641270.59082031,10671.4793694083,Regent Square
214,csa_la_reseda_ranch,Los Angeles City Neighborhood,Los Angeles - Reseda Ranch,Reseda Ranch,1,20059159.6630859,19423.146096223,Reseda Ranch
215,csa_la_reynier_village,Los Angeles City Neighborhood,Los Angeles - Reynier Village,Reynier Village,1,9661503.48339844,14772.4997386911,Reynier Village
216,csa_la_shadow_hills,Los Angeles City Neighborhood,Los Angeles - Shadow Hills,Shadow Hills,1,85188064.3085938,49148.4383465319,Shadow Hills
217,csa_la_south_carthay,Los Angeles City Neighborhood,Los Angeles - South Carthay,South Carthay,1,14799254.1396484,18153.1854896827,South Carthay
218,csa_la_st_elmo_village,Los Angeles City Neighborhood,Los Angeles - St Elmo Village,St Elmo Village,1,4181467.203125,8771.42899961316,St Elmo Village
219,csa_la_sunland,Los Angeles City Neighborhood,Los Angeles - Sunland,Sunland,1,184207696.361328,108169.63752245,Sunland
220,csa_la_sycamore_square,Los Angeles City Neighborhood,Los Angeles - Sycamore Square,Sycamore Square,1,1831246.99414063,5944.48846279385,Sycamore Square
221,csa_la_thai_town,Los Angeles City Neighborhood,Los Angeles - Thai Town,Thai Town,1,6113946.98339844,10572.1745167909,Thai Town
222,csa_la_toluca_lake,Los Angeles City Neighborhood,Los Angeles - Toluca Lake,Toluca Lake,1,28797142.8330078,25642.7335540733,Toluca Lake
223,csa_la_toluca_terrace,Los Angeles City Neighborhood,Los Angeles - Toluca Terrace,Toluca Terrace,1,2478044.86425781,6540.31247876148,Toluca Terrace
224,csa_la_toluca_woods,Los Angeles City Neighborhood,Los Angeles - Toluca Woods,Toluca Woods,1,7178904.11914063,12247.8221890208,Toluca Woods
225,csa_la_university_hills,Los Angeles City Neighborhood,Los Angeles - University Hills,University Hills,1,13137886.5351563,18279.5412868092,University Hills
226,csa_la_vermont_knolls,Los Angeles City Neighborhood,Los Angeles - Vermont Knolls,Vermont Knolls,1,29675172.6455078,25532.5394161971,Vermont Knolls
227,csa_la_vermont_square,Los Angeles City Neighborhood,Los Angeles - Vermont Square,Vermont Square,1,12397381.0908203,14176.1380215304,Vermont Square
228,csa_la_victoria_park,Los Angeles City Neighborhood,Los Angeles - Victoria Park,Victoria Park,1,11235374.5195313,16048.6820295292,Victoria Park
229,csa_la_wellington_square,Los Angeles City Neighborhood,Los Angeles - Wellington Square,Wellington Square,1,9790642.453125,13865.504058738,Wellington Square
230,csa_la_view_heights,Los Angeles City Neighborhood,Los Angeles - View Heights,View Heights,1,9594326.890625,16405.5982438569,View Heights
231,csa_la_marina_peninsula,Los Angeles City Neighborhood,Los Angeles - Marina Peninsula,Marina Peninsula,1,10693192.6376953,16662.4930276065,Marina Peninsula
232,csa_la_playa_del_rey,Los Angeles City Neighborhood,Los Angeles - Playa Del Rey,Playa Del Rey,1,18733707.1181641,26485.9369959101,Playa Del Rey
233,csa_la_harbor_pines,Los Angeles City Neighborhood,Los Angeles - Harbor Pines,Harbor Pines,1,6694939.3671875,11508.4864862099,Harbor Pines
234,csa_unincorp_acton,Unincorporated Los Angeles County,Unincorporated - Acton,Acton (Unincorporated),1,1747931376.63867,246388.957293646,Acton (Unincorporated)
235,csa_unincorp_agua_dulce,Unincorporated Los Angeles County,Unincorporated - Agua Dulce,Agua Dulce (Unincorporated),1,1195019279.49316,217245.8647272,Agua Dulce (Unincorporated)
236,csa_unincorp_anaverde,Unincorporated Los Angeles County,Unincorporated - Anaverde,Anaverde (Unincorporated),1,330519637.831055,97356.2601365622,Anaverde (Unincorporated)
237,csa_unincorp_angeles_national_forest,Unincorporated Los Angeles County,Unincorporated - Angeles National Forest,Angeles National Forest (Unincorporated),1,19267413571.8984,949856.800197244,Angeles National Forest (Unincorporated)
